tipo_inst;cod_inst;cota_fundo
medidor de nivel de agua;nvl_agua_01;925,762
medidor de nivel de agua;nvl_agua_02;918,023
medidor de nivel de agua;nvl_agua_03;938,437
medidor de nivel de agua;nvl_agua_04;926,793
medidor de nivel de agua;nvl_agua_05;918,652
medidor de nivel de agua;nvl_agua_06;936,405
medidor de nivel de agua;nvl_agua_07;908,745
piezometro;piez_01;935,038
piezometro;piez_02;912,88
piezometro;piez_03;931,236
piezometro;piez_04;926,355
piezometro;piez_05;914,774
piezometro;piez_06;902,856
piezometro;piez_07;933,268
piezometro;piez_08;930,584
piezometro;piez_09;910,861
piezometro;piez_10;931,328
piezometro;piez_11;946,958
piezometro;piez_12;914,031
piezometro;piez_13;941,517
piezometro;piez_14;964,335
piezometro;piez_15;962,074
piezometro;piez_16;958,504
piezometro;piez_17;962,062
piezometro;piez_18;914,936
piezometro;piez_19;908,07
piezometro;piez_20;912,777
piezometro;piez_21;928,897
piezometro;piez_22;917,748
piezometro;piez_23;907,936
piezometro;piez_24;928,775
piezometro;piez_25;917,267
piezometro;piez_26;913,274
piezometro;piez_27;919,232
piezometro;piez_28;926,93
piezometro;piez_29;934,321
piezometro;piez_30;913,546
piezometro;piez_31;915,12
piezometro;piez_32;903,89
piezometro;piez_33;919,91
piezometro;piez_34;915,87
piezometro;piez_35;924,84
piezometro;piez_36;919,95
piezometro;piez_37;915,61
piezometro;piez_38;913,11
